conversation,panic_meter
"My house is completely flooded, water till knee level 😭 #FloodAlert",41.5
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",9.6
"Kids crying, we are on rooftop since last night, water rising fast 🚨",91.3
"Just another day, stuck in traffic due to rain 😒",83.3
"Heavy rain again, classic Mumbai monsoon 😂",16.5
"Basement fully filled with water, car Doob gayi 😭 #Floods",90.9
"Power cut in whole area due to cyclone, scary night 😰",74.8
"Water entered ground floor, electricity gone, please send help urgently!!",99.1
"Can't believe the size of these waves, never seen like this before",70.4
"Cyclone destroyed roof of my house, kids shivering 😢",88.1
"No food, no drinking water since yesterday, stranded in Thiruvananthapuram flood",89.2
"High waves hitting the shore, fishermen in danger 🚤🌊",59.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",47.3
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",54.8
"Storm surge is breaking the wall, sea water entering colony in Kolkata",69.4
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",91.7
Rainy vibes with chai ☕ but roads full of water 🤦,28.6
"Seashore flooding slowly, people moving inland",43.1
Rainy vibes with chai ☕ but roads full of water 🤦,21.3
"Storm surge is breaking the wall, sea water entering colony in Cuttack",59.7
"Power cut in whole area due to cyclone, scary night 😰",68.0
"My house is completely flooded, water till knee level 😭 #FloodAlert",62.2
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",84.7
"High waves hitting the shore, fishermen in danger 🚤🌊",74.4
"Storm surge is breaking the wall, sea water entering colony in Chennai",76.4
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",84.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",71.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",68.8
"Storm surge is breaking the wall, sea water entering colony in Chennai",68.3
"School closed due to threat, students fearing violence 😭",67.5
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",70.8
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,70.1
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",71.4
"Flood in Mumbai, please @NDRF come fast 🙏",67.7
"Flood in Kolkata, please @NDRF come fast 🙏",76.1
"Power cut in whole area due to cyclone, scary night 😰",54.6
"Can't go outside, streets blocked due to heavy rain in Mumbai. Anyone else stuck?",95.6
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",77.3
"Water entered ground floor, electricity gone, please send help urgently!!",88.8
"Kid crying, we are on rooftop since last night, water rising fast 🚨",94.5
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,39.9
"Water entered ground floor, electricity gone, please send help urgently!!",91.8
"Basement completely filled with water, cardoob gayi 😭 #Floods",84.1
Rainy vibes with chai ☕ but roads full of water 🤦,15.8
"Water entered ground floor, electricity gone, please send help urgently!!",90.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",71.8
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",26.7
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",50.6
"Heavy rain again, classic Mumbai monsoon 😂",37.8
"Water entered ground floor, electricity gone, please send help urgently!!",94.9
"No food, no drinking water since yesterday, stranded in Kolkata flood",83.2
"Power cut in whole area due to cyclone, scary night 😰",59.4
"My house is completely flooded, water till knee level 😭 #FloodAlert",54.6
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",84.0
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",59.4
"Basement completely filled with water, car doob gayi 😭 #Floods",89.0
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",29.2
"Can't believe the size of these waves, never seen like this before",30.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",64.0
"Storm surge is breaking the wall, sea water entering colony in Visakhapatnam",66.8
"Kids crying, we are on rooftop since last night, water rising fast 🚨",80.5
"Seashore flooding slowly, people moving inland",34.1
Rainy vibes with chai ☕ but roads full of water 🤦,28.5
"Just another day, stuck in traffic due to rain 😒",90.8
"Please @INDIA come and save us, stuck in Puri since cyclone hit!",83.2
"Bhai kal se baarish ho rahi hai, kiya naya dvera aaisi diya 😡",57.7
"High waves hitting the shore, fishermen in danger 🚤🌊",64.9
"@IndianNavy please rescue us, stuck in Thiruvananthapuram since cyclone hit!",92.6
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,65.6
"Water entered ground floor, electrical supply gone, please send help urgently!!",81.1
"Beach closed due to high tide, lifeguards warning tourists ⚠️",67.2
"Thunderstorm destroyed roof of my house, kids shivering 😢",80.5
"I am stuck in Cuttack since cyclone hit, road blocked due to heavy weight 🚨",83.8
"Flood in Thiruvananthapuram, please @NDRF come fast 🙏",63.4
"Storm surge is breaking the wall, sea water entering colony in Chennai",63.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",52.0
"Seashore flooding slowly, people moving inland",68.1
"Storm surge is breaking the wall, sea water entering colony in Mumbai",74.1
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",34.2
"Heavy rain again, classic Mumbai monsoon 😂",21.1
"Water entered ground floor, electricity gone, please send help urgently!!",84.1
"Can't go outside, roads blocked due to heavy rain in Thiruvananthapuram. Anyone else stuck?",91.8
"Flood in Kolkata, please @NDRF come fast 🙏",62.7
"Kids crying, we are on rooftop since last night, water rising fast 🚨",80.2
Rainy vibes with chai ☕ but roads full of water 🤦,32.9
"Great wave hits the shore, fishermen in danger 🚤🌊",50.3
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",9.8
"Just another day, stuck in traffic due to rain 😒",82.0
Kadal la periya alaivaru (big waves at sea) 🌊 stay safe #TamilNadu,72.3
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",15.9
"@IndianNavy please rescue us, stuck in Purisince cyclone hit!",90.0
"Can't go outside, roads blocked due to heavy rain in Mumbai. Anyone else stuck?",95.3
"No food, no drinking water since yesterday, stranded in Visakhapatnar flood",83.0
Rainy vibes with chai ☕ but roads full of water 🤦,37.9
"Flood in Kolkata, please @NDRF come fast 🙏",79.5
"Basement completely filled with water, car doob gayi 😭 #Floods",90.6
"@IndianNavy please rescue us, stuck in Cuttack since cyclone hit!",81.7
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",59.8
"Can't go outside, roads blocked due to heavy rain in Mumbai. Anyone else stuck?",95.6
"Kids crying, we are on rooftop since last night, water rising fast 🚨",80.3
"High waves hitting the shore, fishermen in danger 🚤🌊",63.0
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",29.2
"Storm surge is breaking the wall, sea water entering colony in Puri",62.8
"My house is completely flooded, water till knee level 😭 #FloodAlert",36.4
"No food, no drinking water since yesterday, stranded in Visakhapatnam flood",92.1
"Heavy rain again, classic Mumbai monsoon 😂",9.2
"Just another day, stuck in traffic due to rain 😒",89.4
"Beach closed due to high tide, lifeguards warning tourists ⚠️",56.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",16.6
"Water entered ground floor, electricity gone, please send help urgently!!",85.3
Kadal la periya alai varuthu (big waves at sea) 🌊 stay safe #TamilNadu,40.8
"Power cut in whole area due to cyclone, scary night 😰",59.2
"Rainy vibes with chai(☕) but roads full of water(🤦)
delivering heatwave",34.9
"Beach closed due to high tide, lifeguards warning tourists ⚠️",53.9
"Beach closed due to high tide, lifeguards warning tourists ⚠️",74.8
"Flood in Mumbai, please @NDRF come fast 🙏",42.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",11.8
"Bhai kal se baarish ho rahi hai, koi madad nahi aayi abhi tak 😡",53.2
"Beach closed due to high tide, lifeguards warning tourists ⚠️",56.6
"Basement completely filled with water, car doob gayi 😭 #Floods",80.2
"Heavy rain again, classic Mumbai monsoon 😂",26.5
"Mumbai rains again lol,bas abhi to office chhod do 😂🌧️",15.6
"Basement completely filled with water, car doob gayi 😭 #Floods",81.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",9.8
"Flood in Thiruvananthapuram, please @NDRF arrive speedily!🙏",65.2
Kadal la perayaan m lodha rani (big wave at sea) 🌊 stay safe#TamilNadu,32.1
"Cyclone destroyed roof of my house, kids shivering 😢",93.7
Kadal la perayaan m lodha rani (big wave at sea) 🌊 stay safe#TamilNadu,34.2
"Kids crying, we are on rooftop since last night, water rising fast 🚨",91.3
"Can't believe the size of these waves, never seen like this before",47.7
"Power cut in whole area due to cyclone, scary night 😰",59.2
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",35.5
Kadal la perayaan m lodha rani (big wave at sea) 🌊 stay safe#TamilNadu,39.8
"Cyclone holiday declared, no college today yay 😅",23.9
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",56.4
"Can't believe the size of these waves, never seen like this before",52.4
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",35.6
"Heavy rain again, classic Mumbai monsoon 😂",19.5
"Kids crying, we are on rooftop since last night, water rising fast 🚨",96.4
"Mumbai rains again lol, bas abhi to office chhod do 😂🌧️",15.2
"@IndianNavy please rescue us, stuck in Puri since cyclone hit!",81.5
"My house is completely flooded, water till knee level 😭 #FloodAlert",62.2
"Water entered ground floor, electricity gone, please send help urgently!!",83.0
"Power cut in whole area due to cyclone, scary night 😰",62.8
"Cyclone winds are too strong, trees falling everywhere 🌪️ #CycloneAlert",70.3
"Can't go outside, roads blocked due to heavy rain in Visakhapatnam. Anyone else stuck?",86.7
"Beach closed due to high tide, lifeguards warning tourists ⚠️",47.3
"Storm surge is breaking the wall, sea water entering colony in Chennai",58.1
"Seashore flooding slowly, people moving inland",36.1
"Basement completely filled with water, car Doob gayi 😭 #Floods",99.6
"Just another day, stuck in traffic due to rain 😒",82.0
"High waves hitting the shore, fishermen in danger 🚤🌊",59.3
Rainy vibes with chai ☕ but roads full of water 🤦,10.4
